heatmap_row,heatmap_col,heatmap_value,csv_calculated_value,total_samples,tp,fp,fn,tn,matches_csv
SRP,C#,67.1875,67.1875,192,129,61,2,0,True
SRP,JAVA,66.66666666666666,66.66666666666666,192,128,63,1,0,True
SRP,KOTLIN,65.10416666666666,65.10416666666666,192,125,59,8,0,True
SRP,PYTHON,61.979166666666664,61.979166666666664,192,119,67,6,0,True
OCP,C#,39.0625,39.0625,192,75,114,3,0,True
OCP,JAVA,38.02083333333333,38.02083333333333,192,73,118,1,0,True
OCP,KOTLIN,38.54166666666667,38.54166666666667,192,74,114,4,0,True
OCP,PYTHON,35.9375,35.9375,192,69,119,4,0,True
LSP,C#,24.479166666666664,24.479166666666664,192,47,140,5,0,True
LSP,JAVA,27.604166666666668,27.604166666666668,192,53,137,2,0,True
LSP,KOTLIN,28.125,28.125,192,54,138,0,0,True
LSP,PYTHON,21.354166666666664,21.354166666666664,192,41,147,4,0,True
ISP,C#,35.9375,35.9375,192,69,122,1,0,True
ISP,JAVA,31.770833333333332,31.770833333333332,192,61,128,3,0,True
ISP,KOTLIN,28.125,28.125,192,54,134,4,0,True
ISP,PYTHON,28.125,28.125,192,54,134,4,0,True
DIP,C#,3.6458333333333335,3.6458333333333335,192,7,185,0,0,True
DIP,JAVA,4.166666666666666,4.166666666666666,192,8,183,1,0,True
DIP,KOTLIN,1.0416666666666665,1.0416666666666665,192,2,183,7,0,True
DIP,PYTHON,1.0416666666666665,1.0416666666666665,192,2,185,5,0,True
