heatmap_row,heatmap_col,heatmap_value,csv_calculated_value,total_samples,tp,fp,fn,tn,matches_csv
SRP,EASY,77.734375,77.734375,256,199,48,9,0,True
SRP,MODERATE,77.734375,77.734375,256,199,51,6,0,True
SRP,HARD,40.234375,40.234375,256,103,151,2,0,True
OCP,EASY,64.84375,64.84375,256,166,89,1,0,True
OCP,MODERATE,30.859375,30.859375,256,79,177,0,0,True
OCP,HARD,17.96875,17.96875,256,46,199,11,0,True
LSP,EASY,37.5,37.5,256,96,156,4,0,True
LSP,MODERATE,22.265625,22.265625,256,57,197,2,0,True
LSP,HARD,16.40625,16.40625,256,42,209,5,0,True
ISP,EASY,36.328125,36.328125,256,93,161,2,0,True
ISP,MODERATE,36.328125,36.328125,256,93,160,3,0,True
ISP,HARD,20.3125,20.3125,256,52,197,7,0,True
DIP,EASY,6.640625,6.640625,256,17,227,12,0,True
DIP,MODERATE,0.390625,0.390625,256,1,254,1,0,True
DIP,HARD,0.390625,0.390625,256,1,255,0,0,True
