violation_type,language,total_samples,correct_samples,accuracy_pct,tp,fp,fn,tn
DIP,C#,192,7,3.6458333333333335,7,185,0,0
DIP,JAVA,192,8,4.166666666666666,8,183,1,0
DIP,KOTLIN,192,2,1.0416666666666665,2,183,7,0
DIP,PYTHON,192,2,1.0416666666666665,2,185,5,0
ISP,C#,192,69,35.9375,69,122,1,0
ISP,JAVA,192,61,31.770833333333332,61,128,3,0
ISP,KOTLIN,192,54,28.125,54,134,4,0
ISP,PYTHON,192,54,28.125,54,134,4,0
LSP,C#,192,47,24.479166666666664,47,140,5,0
LSP,JAVA,192,53,27.604166666666668,53,137,2,0
LSP,KOTLIN,192,54,28.125,54,138,0,0
LSP,PYTHON,192,41,21.354166666666664,41,147,4,0
OCP,C#,192,75,39.0625,75,114,3,0
OCP,JAVA,192,73,38.02083333333333,73,118,1,0
OCP,KOTLIN,192,74,38.54166666666667,74,114,4,0
OCP,PYTHON,192,69,35.9375,69,119,4,0
SRP,C#,192,129,67.1875,129,61,2,0
SRP,JAVA,192,128,66.66666666666666,128,63,1,0
SRP,KOTLIN,192,125,65.10416666666666,125,59,8,0
SRP,PYTHON,192,119,61.979166666666664,119,67,6,0
