violation_type,level,total_samples,correct_samples,accuracy_pct,tp,fp,fn,tn
DIP,EASY,256,17,6.640625,17,227,12,0
DIP,HARD,256,1,0.390625,1,255,0,0
DIP,MODERATE,256,1,0.390625,1,254,1,0
ISP,EASY,256,93,36.328125,93,161,2,0
ISP,HARD,256,52,20.3125,52,197,7,0
ISP,MODERATE,256,93,36.328125,93,160,3,0
LSP,EASY,256,96,37.5,96,156,4,0
LSP,HARD,256,42,16.40625,42,209,5,0
LSP,MODERATE,256,57,22.265625,57,197,2,0
OCP,EASY,256,166,64.84375,166,89,1,0
OCP,HARD,256,46,17.96875,46,199,11,0
OCP,MODERATE,256,79,30.859375,79,177,0,0
SRP,EASY,256,199,77.734375,199,48,9,0
SRP,HARD,256,103,40.234375,103,151,2,0
SRP,MODERATE,256,199,77.734375,199,51,6,0
