violation_type,model,tp,fp,fn,tn,total_samples,correct_samples,precision,recall,f1_score,f1_score_pct
DIP,CodeLlama-70B,0,190,2,0,192,0,0.0,0.0,0.0,0.0
DIP,DeepSeek-33B,1,186,5,0,192,1,0.0053475935828877,0.16666666666666666,0.010362694300518135,1.0362694300518136
DIP,GPT-4o-Mini,7,182,3,0,192,7,0.037037037037037035,0.7,0.07035175879396985,7.035175879396985
DIP,Qwen2.5-Coder-32B,11,178,3,0,192,11,0.0582010582010582,0.7857142857142857,0.10837438423645318,10.837438423645319
ISP,CodeLlama-70B,14,176,2,0,192,14,0.07368421052631578,0.875,0.13592233009708737,13.592233009708737
ISP,DeepSeek-33B,21,162,9,0,192,21,0.11475409836065574,0.7,0.1971830985915493,19.71830985915493
ISP,GPT-4o-Mini,106,86,0,0,192,106,0.5520833333333334,1.0,0.7114093959731543,71.14093959731544
ISP,Qwen2.5-Coder-32B,97,94,1,0,192,97,0.5078534031413613,0.9897959183673469,0.6712802768166091,67.12802768166091
LSP,CodeLlama-70B,32,159,1,0,192,32,0.16753926701570682,0.9696969696969697,0.28571428571428575,28.571428571428577
LSP,DeepSeek-33B,15,167,10,0,192,15,0.08241758241758242,0.6,0.14492753623188404,14.492753623188403
LSP,GPT-4o-Mini,93,99,0,0,192,93,0.484375,1.0,0.6526315789473685,65.26315789473685
LSP,Qwen2.5-Coder-32B,55,137,0,0,192,55,0.2864583333333333,1.0,0.44534412955465585,44.534412955465584
OCP,CodeLlama-70B,55,137,0,0,192,55,0.2864583333333333,1.0,0.44534412955465585,44.534412955465584
OCP,DeepSeek-33B,42,138,12,0,192,42,0.23333333333333334,0.7777777777777778,0.35897435897435903,35.897435897435905
OCP,GPT-4o-Mini,114,78,0,0,192,114,0.59375,1.0,0.7450980392156863,74.50980392156863
OCP,Qwen2.5-Coder-32B,80,112,0,0,192,80,0.4166666666666667,1.0,0.5882352941176471,58.82352941176471
SRP,CodeLlama-70B,74,116,2,0,192,74,0.3894736842105263,0.9736842105263158,0.556390977443609,55.639097744360896
SRP,DeepSeek-33B,82,96,14,0,192,82,0.4606741573033708,0.8541666666666666,0.5985401459854015,59.854014598540154
SRP,GPT-4o-Mini,191,1,0,0,192,191,0.9947916666666666,1.0,0.9973890339425587,99.73890339425587
SRP,Qwen2.5-Coder-32B,154,37,1,0,192,154,0.806282722513089,0.9935483870967742,0.8901734104046243,89.01734104046243
