violation_type,strategy,tp,fp,fn,tn,total_samples,correct_samples,precision,recall,f1_score,f1_score_pct
DIP,default,0,192,0,0,192,0,0.0,0.0,0.0,0.0
DIP,ensemble,3,188,1,0,192,3,0.015706806282722512,0.75,0.030769230769230767,3.0769230769230766
DIP,example,12,172,8,0,192,12,0.06521739130434782,0.6,0.11764705882352941,11.76470588235294
DIP,smell,4,184,4,0,192,4,0.02127659574468085,0.5,0.04081632653061224,4.081632653061225
ISP,default,85,105,2,0,192,85,0.4473684210526316,0.9770114942528736,0.6137184115523466,61.37184115523466
ISP,ensemble,44,139,9,0,192,44,0.24043715846994534,0.8301886792452831,0.37288135593220334,37.28813559322033
ISP,example,63,128,1,0,192,63,0.3298429319371728,0.984375,0.4941176470588236,49.41176470588236
ISP,smell,46,146,0,0,192,46,0.23958333333333334,1.0,0.3865546218487395,38.655462184873954
LSP,default,41,151,0,0,192,41,0.21354166666666666,1.0,0.35193133047210295,35.193133047210296
LSP,ensemble,61,123,8,0,192,61,0.33152173913043476,0.8840579710144928,0.48221343873517786,48.22134387351779
LSP,example,68,123,1,0,192,68,0.35602094240837695,0.9855072463768116,0.5230769230769231,52.307692307692314
LSP,smell,25,165,2,0,192,25,0.13157894736842105,0.9259259259259259,0.23041474654377878,23.04147465437788
OCP,default,64,128,0,0,192,64,0.3333333333333333,1.0,0.5,50.0
OCP,ensemble,117,63,12,0,192,117,0.65,0.9069767441860465,0.7572815533980582,75.72815533980582
OCP,example,96,96,0,0,192,96,0.5,1.0,0.6666666666666666,66.66666666666666
OCP,smell,14,178,0,0,192,14,0.07291666666666667,1.0,0.13592233009708737,13.592233009708737
SRP,default,135,56,1,0,192,135,0.7068062827225131,0.9926470588235294,0.8256880733944953,82.56880733944953
SRP,ensemble,106,75,11,0,192,106,0.585635359116022,0.905982905982906,0.7114093959731542,71.14093959731542
SRP,example,130,59,3,0,192,130,0.6878306878306878,0.9774436090225563,0.8074534161490683,80.74534161490683
SRP,smell,130,60,2,0,192,130,0.6842105263157895,0.9848484848484849,0.8074534161490684,80.74534161490683
