heatmap_row,heatmap_col,heatmap_value,csv_calculated_value,total_samples,tp,fp,fn,tn,matches_csv
SRP,CodeLlama-70B,55.639097744360896,55.639097744360896,192,74,116,2,0,True
SRP,DeepSeek-33B,59.854014598540154,59.854014598540154,192,82,96,14,0,True
SRP,GPT-4o-Mini,99.73890339425587,99.73890339425587,192,191,1,0,0,True
SRP,Qwen2.5-Coder-32B,89.01734104046243,89.01734104046243,192,154,37,1,0,True
OCP,CodeLlama-70B,44.534412955465584,44.534412955465584,192,55,137,0,0,True
OCP,DeepSeek-33B,35.897435897435905,35.897435897435905,192,42,138,12,0,True
OCP,GPT-4o-Mini,74.50980392156863,74.50980392156863,192,114,78,0,0,True
OCP,Qwen2.5-Coder-32B,58.82352941176471,58.82352941176471,192,80,112,0,0,True
LSP,CodeLlama-70B,28.571428571428577,28.571428571428577,192,32,159,1,0,True
LSP,DeepSeek-33B,14.492753623188403,14.492753623188403,192,15,167,10,0,True
LSP,GPT-4o-Mini,65.26315789473685,65.26315789473685,192,93,99,0,0,True
LSP,Qwen2.5-Coder-32B,44.534412955465584,44.534412955465584,192,55,137,0,0,True
ISP,CodeLlama-70B,13.592233009708737,13.592233009708737,192,14,176,2,0,True
ISP,DeepSeek-33B,19.71830985915493,19.71830985915493,192,21,162,9,0,True
ISP,GPT-4o-Mini,71.14093959731544,71.14093959731544,192,106,86,0,0,True
ISP,Qwen2.5-Coder-32B,67.12802768166091,67.12802768166091,192,97,94,1,0,True
DIP,CodeLlama-70B,0.0,0.0,192,0,190,2,0,True
DIP,DeepSeek-33B,1.0362694300518136,1.0362694300518136,192,1,186,5,0,True
DIP,GPT-4o-Mini,7.035175879396985,7.035175879396985,192,7,182,3,0,True
DIP,Qwen2.5-Coder-32B,10.837438423645319,10.837438423645319,192,11,178,3,0,True
