heatmap_row,heatmap_col,heatmap_value,csv_calculated_value,total_samples,tp,fp,fn,tn,matches_csv
SRP,default,82.56880733944953,82.56880733944953,192,135,56,1,0,True
SRP,ensemble,71.14093959731542,71.14093959731542,192,106,75,11,0,True
SRP,example,80.74534161490683,80.74534161490683,192,130,59,3,0,True
SRP,smell,80.74534161490683,80.74534161490683,192,130,60,2,0,True
OCP,default,50.0,50.0,192,64,128,0,0,True
OCP,ensemble,75.72815533980582,75.72815533980582,192,117,63,12,0,True
OCP,example,66.66666666666666,66.66666666666666,192,96,96,0,0,True
OCP,smell,13.592233009708737,13.592233009708737,192,14,178,0,0,True
LSP,default,35.193133047210296,35.193133047210296,192,41,151,0,0,True
LSP,ensemble,48.22134387351779,48.22134387351779,192,61,123,8,0,True
LSP,example,52.307692307692314,52.307692307692314,192,68,123,1,0,True
LSP,smell,23.04147465437788,23.04147465437788,192,25,165,2,0,True
ISP,default,61.37184115523466,61.37184115523466,192,85,105,2,0,True
ISP,ensemble,37.28813559322033,37.28813559322033,192,44,139,9,0,True
ISP,example,49.41176470588236,49.41176470588236,192,63,128,1,0,True
ISP,smell,38.655462184873954,38.655462184873954,192,46,146,0,0,True
DIP,default,0.0,0.0,192,0,192,0,0,True
DIP,ensemble,3.0769230769230766,3.0769230769230766,192,3,188,1,0,True
DIP,example,11.76470588235294,11.76470588235294,192,12,172,8,0,True
DIP,smell,4.081632653061225,4.081632653061225,192,4,184,4,0,True
