violation,strategy,model,accuracy,precision,recall,f1_score,support
DIP,default,codellama70b-temp0:latest,0.0,0.0,0.0,0.0,48
DIP,default,deepseek33b-temp0:latest,0.0,0.0,0.0,0.0,48
DIP,default,gpt-4o-mini,0.0,0.0,0.0,0.0,48
DIP,default,qwen2.5-coder32b-temp0:latest,0.0,0.0,0.0,0.0,48
DIP,ensemble,codellama70b-temp0:latest,0.0,0.0,0.0,0.0,48
DIP,ensemble,deepseek33b-temp0:latest,0.021,1.0,0.021,0.041,48
DIP,ensemble,gpt-4o-mini,0.021,1.0,0.021,0.041,48
DIP,ensemble,qwen2.5-coder32b-temp0:latest,0.021,1.0,0.021,0.041,48
DIP,example,codellama70b-temp0:latest,0.0,0.0,0.0,0.0,48
DIP,example,deepseek33b-temp0:latest,0.0,0.0,0.0,0.0,48
DIP,example,gpt-4o-mini,0.062,1.0,0.062,0.118,48
DIP,example,qwen2.5-coder32b-temp0:latest,0.188,1.0,0.188,0.316,48
DIP,smell,codellama70b-temp0:latest,0.0,0.0,0.0,0.0,48
DIP,smell,deepseek33b-temp0:latest,0.0,0.0,0.0,0.0,48
DIP,smell,gpt-4o-mini,0.062,1.0,0.062,0.118,48
DIP,smell,qwen2.5-coder32b-temp0:latest,0.021,1.0,0.021,0.041,48
ISP,default,codellama70b-temp0:latest,0.146,1.0,0.146,0.255,48
ISP,default,deepseek33b-temp0:latest,0.25,1.0,0.25,0.4,48
ISP,default,gpt-4o-mini,0.875,1.0,0.875,0.933,48
ISP,default,qwen2.5-coder32b-temp0:latest,0.5,1.0,0.5,0.667,48
ISP,ensemble,codellama70b-temp0:latest,0.0,0.0,0.0,0.0,48
ISP,ensemble,deepseek33b-temp0:latest,0.083,1.0,0.083,0.154,48
ISP,ensemble,gpt-4o-mini,0.188,1.0,0.188,0.316,48
ISP,ensemble,qwen2.5-coder32b-temp0:latest,0.646,1.0,0.646,0.785,48
ISP,example,codellama70b-temp0:latest,0.0,0.0,0.0,0.0,48
ISP,example,deepseek33b-temp0:latest,0.021,1.0,0.021,0.041,48
ISP,example,gpt-4o-mini,0.792,1.0,0.792,0.884,48
ISP,example,qwen2.5-coder32b-temp0:latest,0.5,1.0,0.5,0.667,48
ISP,smell,codellama70b-temp0:latest,0.146,1.0,0.146,0.255,48
ISP,smell,deepseek33b-temp0:latest,0.083,1.0,0.083,0.154,48
ISP,smell,gpt-4o-mini,0.354,1.0,0.354,0.523,48
ISP,smell,qwen2.5-coder32b-temp0:latest,0.375,1.0,0.375,0.545,48
LSP,default,codellama70b-temp0:latest,0.146,1.0,0.146,0.255,48
LSP,default,deepseek33b-temp0:latest,0.083,1.0,0.083,0.154,48
LSP,default,gpt-4o-mini,0.458,1.0,0.458,0.629,48
LSP,default,qwen2.5-coder32b-temp0:latest,0.167,1.0,0.167,0.286,48
LSP,ensemble,codellama70b-temp0:latest,0.312,1.0,0.312,0.476,48
LSP,ensemble,deepseek33b-temp0:latest,0.188,1.0,0.188,0.316,48
LSP,ensemble,gpt-4o-mini,0.354,1.0,0.354,0.523,48
LSP,ensemble,qwen2.5-coder32b-temp0:latest,0.417,1.0,0.417,0.588,48
LSP,example,codellama70b-temp0:latest,0.208,1.0,0.208,0.345,48
LSP,example,deepseek33b-temp0:latest,0.042,1.0,0.042,0.08,48
LSP,example,gpt-4o-mini,0.625,1.0,0.625,0.769,48
LSP,example,qwen2.5-coder32b-temp0:latest,0.542,1.0,0.542,0.703,48
LSP,smell,codellama70b-temp0:latest,0.0,0.0,0.0,0.0,48
LSP,smell,deepseek33b-temp0:latest,0.0,0.0,0.0,0.0,48
LSP,smell,gpt-4o-mini,0.5,1.0,0.5,0.667,48
LSP,smell,qwen2.5-coder32b-temp0:latest,0.021,1.0,0.021,0.041,48
OCP,default,codellama70b-temp0:latest,0.229,1.0,0.229,0.373,48
OCP,default,deepseek33b-temp0:latest,0.438,1.0,0.438,0.609,48
OCP,default,gpt-4o-mini,0.271,1.0,0.271,0.426,48
OCP,default,qwen2.5-coder32b-temp0:latest,0.396,1.0,0.396,0.567,48
OCP,ensemble,codellama70b-temp0:latest,0.688,1.0,0.688,0.815,48
OCP,ensemble,deepseek33b-temp0:latest,0.333,1.0,0.333,0.5,48
OCP,ensemble,gpt-4o-mini,0.854,1.0,0.854,0.921,48
OCP,ensemble,qwen2.5-coder32b-temp0:latest,0.562,1.0,0.562,0.72,48
OCP,example,codellama70b-temp0:latest,0.229,1.0,0.229,0.373,48
OCP,example,deepseek33b-temp0:latest,0.083,1.0,0.083,0.154,48
OCP,example,gpt-4o-mini,0.979,1.0,0.979,0.989,48
OCP,example,qwen2.5-coder32b-temp0:latest,0.708,1.0,0.708,0.829,48
OCP,smell,codellama70b-temp0:latest,0.0,0.0,0.0,0.0,48
OCP,smell,deepseek33b-temp0:latest,0.021,1.0,0.021,0.041,48
OCP,smell,gpt-4o-mini,0.271,1.0,0.271,0.426,48
OCP,smell,qwen2.5-coder32b-temp0:latest,0.0,0.0,0.0,0.0,48
SRP,default,codellama70b-temp0:latest,0.667,1.0,0.667,0.8,48
SRP,default,deepseek33b-temp0:latest,0.438,1.0,0.438,0.609,48
SRP,default,gpt-4o-mini,1.0,1.0,1.0,1.0,48
SRP,default,qwen2.5-coder32b-temp0:latest,0.708,1.0,0.708,0.829,48
SRP,ensemble,codellama70b-temp0:latest,0.229,1.0,0.229,0.373,48
SRP,ensemble,deepseek33b-temp0:latest,0.0,0.0,0.0,0.0,48
SRP,ensemble,gpt-4o-mini,0.979,1.0,0.979,0.989,48
SRP,ensemble,qwen2.5-coder32b-temp0:latest,1.0,1.0,1.0,1.0,48
SRP,example,codellama70b-temp0:latest,0.312,1.0,0.312,0.476,48
SRP,example,deepseek33b-temp0:latest,0.646,1.0,0.646,0.785,48
SRP,example,gpt-4o-mini,1.0,1.0,1.0,1.0,48
SRP,example,qwen2.5-coder32b-temp0:latest,0.75,1.0,0.75,0.857,48
SRP,smell,codellama70b-temp0:latest,0.333,1.0,0.333,0.5,48
SRP,smell,deepseek33b-temp0:latest,0.625,1.0,0.625,0.769,48
SRP,smell,gpt-4o-mini,1.0,1.0,1.0,1.0,48
SRP,smell,qwen2.5-coder32b-temp0:latest,0.75,1.0,0.75,0.857,48
